id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
17475,Attic Sagrada Familia,65623,Luca,Eixample,la Dreta de l'Eixample,41.39939,2.17044,Entire home/apt,165,3,29,2024-03-01,0.17,1,7,12,
18674,Huge flat for 8 people close to Sagrada Familia,71615,Mireia  Maria,Eixample,la Sagrada Família,41.40556,2.17262,Entire home/apt,210,1,40,2023-11-07,0.30,28,252,6,HUTB-002062
23197,"Forum CCIB DeLuxe, Spacious, Large Balcony, relax",90417,Etain (Marnie),Sant Martí,el Besòs i el Maresme,41.41243172529066,2.219750335269476,Entire home/apt,240,3,74,2023-11-25,0.47,1,250,8,HUTB005057
97529,Furnished one bedroom apartment with bathroom,497450,Francesc,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.408790588378906,2.1660659313201904,Entire home/apt,,120,67,2022-10-31,0.45,1,0,0,
32711,Sagrada Familia area - Còrsega 1,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40566,2.17015,Entire home/apt,129,1,112,2024-02-22,0.73,3,248,22,HUTB-001722
110041,002. Alió 2 Apartment,396363,Alcam Apartments,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40271,2.16646,Entire home/apt,94,1,54,2024-03-03,0.38,95,226,18,HUTB-003671
34241,Stylish Top Floor Apartment - Ramblas Plaza Real,73163,Andres,Ciutat Vella,el Barri Gòtic,41.38062,2.17517,Entire home/apt,186,5,10,2024-02-21,0.06,3,47,2,Exempt
34981,VIDRE HOME PLAZA REAL on LAS RAMBLAS,73163,Andres,Ciutat Vella,el Barri Gòtic,41.37978,2.17623,Entire home/apt,262,5,222,2024-02-24,1.35,3,208,26,HUTB-150671
36763,In front of the beach,158596,Ester,Ciutat Vella,la Barceloneta,41.38043,2.19094,Private room,35,31,109,2023-12-13,0.72,1,198,5,
112538,✨Design Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,363,2,121,2024-03-17,0.78,19,198,15,HUTB-000333
117010,✨Spacious Flat near Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40647,2.17457,Entire home/apt,348,2,50,2023-11-19,0.33,19,166,9,HUTB000331
118228,✨Bright apt views Sagrada Familia / Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,373,2,57,2023-10-29,0.37,19,204,13,HUTB-000328
40983,Soho Colonial Eclectic Apartment,177617,Joaquin,Eixample,la Dreta de l'Eixample,41.39631,2.16832,Entire home/apt,113,2,302,2024-03-18,1.94,7,224,43,HUTB-001282
41952,Modern Apartment - Sagrada Familia,183340,Teresa,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40568,2.16943,Entire home/apt,137,3,76,2024-03-03,0.53,3,282,14,HUTB-003549
128463,Private Suite in residential area!!,635253,Sebastian,Sants-Montjuïc,Sants,41.37155,2.13664,Entire home/apt,106,3,412,2024-03-11,2.70,1,238,50,HUTB-012603
135513,APARTAMENTO EN LA RAMBLA DE POBLE NOU Y PLAYA,664196,Teresa,Sant Martí,el Poblenou,41.39787,2.20429,Entire home/apt,150,3,127,2021-09-23,0.84,2,242,0,
46153,"Chic Sant Pere, Great Location, central & chic",329334048,Jake,Ciutat Vella,"Sant Pere, Santa Caterina i la Ribera",41.38956,2.17759,Entire home/apt,55,31,6,2023-06-16,0.04,1,326,1,Exempt
136661,Beautiful house near beach long term > 31 days,668991,Andreas,Sant Martí,la Vila Olímpica del Poblenou,41.39047,2.19698,Entire home/apt,220,31,4,2015-08-29,0.04,1,93,0,Exempt
136670,"double Room -UPC, ESADE, Barça, Real Club Tennis",610674,Maria,Les Corts,Pedralbes,41.38832,2.12201,Private room,40,32,134,2024-02-29,0.88,3,242,5,
49968,Sagrada Familia area - Còrsega 2,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.4057,2.17016,Entire home/apt,129,1,98,2024-03-18,0.64,3,242,28,HUTB-001723
138055,🌞Apt best views of Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.1746,Entire home/apt,380,2,120,2024-02-18,0.78,19,191,11,HUTB000329
58512,Stylish & cozy 3BR near Sagrada Familia,280070,Cristina,Sant Martí,el Camp de l'Arpa del Clot,41.41129,2.18193,Entire home/apt,150,30,380,2020-03-02,2.41,1,88,0,HUTB-009592
147275,1 Room INDIVIDUAL in Barcelona,711907,Antuan,Horta-Guinardó,el Guinardó,41.42337,2.1749,Private room,18,31,131,2023-12-01,1.22,1,291,3,Exempt
68547,Spacious 2 bedroom flat special offer 40% OFF,340570,Audun,Ciutat Vella,el Barri Gòtic,41.3806,2.17796,Entire home/apt,130,31,92,2021-08-10,0.59,2,316,0,
154437,Charming room  Diagonal wifi 100 Mb,474355,Annais,Eixample,l'Antiga Esquerra de l'Eixample,41.39202,2.15101,Private room,,31,95,2023-03-13,0.62,1,0,0,Exempt
71520,Charming apartment with fantastic views!,366428,Ariadna,Gràcia,Vallcarca i els Penitents,41.41841,2.13307,Entire home/apt,,5,1,2011-06-23,0.01,1,250,0,HUTB-007966
162091,✨Cosy Apt near Sagrada Familia / Shared terrace✨,567180,Sandra,Eixample,la Sagrada Família,41.4064,2.17449,Entire home/apt,800,2,68,2023-11-12,0.47,19,148,11,HUTB000326
164456,Bedroom+pvt bathroom+pvt living,784341,Paola,Ciutat Vella,el Barri Gòtic,41.3826164,2.173318,Private room,90,6,124,2024-02-27,0.82,1,114,14,Exempt
71553,Best deals for penthouse near Sagrada Familia!,366654,Watermelon Barcelona Apartments,Eixample,la Dreta de l'Eixample,41.39705,2.17469,Entire home/apt,186,3,81,2023-11-10,0.51,3,185,6,HUTB-002424
171646,Sagrada Familia Clot Atico - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Clot,41.40671,2.18592,Entire home/apt,146,3,95,2024-03-12,0.72,9,0,28,HUTB-004663
171816,Sagrada Familia Clot Vista - Wifi/Private/Clean,400154,Mireia,Sant Martí,el Clot,41.40681,2.18553,Entire home/apt,146,3,57,2024-01-06,0.84,9,58,27,HUTB-004664
174382,🌟Central Flat near Sagrada Familia/Shared terrace,567180,Sandra,Eixample,la Sagrada Família,41.40653,2.17455,Entire home/apt,357,2,28,2024-01-01,0.27,19,165,10,HUTB000327
71736,LONG TERM ENTIRE MONTHS MORE THAN 28 NIGHTS,368317,Nacharosa,Ciutat Vella,el Raval,41.38174,2.16663,Entire home/apt,68,28,9,2012-08-20,0.06,7,293,0,
188267,"LAST Minute Promotion ,Balconies  and views, city",366654,Watermelon Barcelona Apartments,Eixample,la Dreta de l'Eixample,41.39258,2.17692,Entire home/apt,333,3,117,2024-02-14,0.77,3,238,16,hutb-005119
72436,Lugaris Beach Business Apartment,375625,Xavier,Sant Martí,el Poblenou,41.39909,2.20733,Entire home/apt,185,1,801,2024-03-05,6.86,6,327,135,HUTB-000173
190348,Apartment with large terrace,919480,Elisa,Les Corts,Pedralbes,41.38893,2.12443,Private room,,7,1,2016-06-09,0.01,1,0,0,
72793,LONG TERM  COLORIST APARTMENT MINIMUN 28 NITGHS,368317,Nacharosa,Ciutat Vella,el Raval,41.38104,2.16565,Entire home/apt,60,28,1,2014-08-27,0.01,7,335,0,
196021,"Large patio, 4 baths (3 en-suite), 19th c, central",953719,Julia,Eixample,l'Antiga Esquerra de l'Eixample,41.38842,2.16108,Entire home/apt,509,2,402,2024-03-10,2.65,2,201,54,HUTB-506707
72794,LONG TERM FANTASTIC APARTMENT MINIMUM 32 NIGHTS,368317,Nacharosa,Ciutat Vella,el Raval,41.38214,2.16568,Entire home/apt,60,28,7,2014-08-23,0.05,7,309,0,
73683,Sagrada Familia area for 12 people,135703,Nick,Gràcia,el Camp d'en Grassot i Gràcia Nova,41.40554,2.17017,Entire home/apt,257,2,205,2024-03-02,1.32,3,228,34,HUTB-001723
75003,130. Hércules Pequeño 41,396363,Alcam Apartments,Eixample,la Sagrada Família,41.40399,2.17802,Entire home/apt,94,1,46,2023-12-22,0.29,95,365,16,HUTB-001363
